name,price,url
LONGLINE BELTED WOOL BLEND COAT,119.00 EUR,https://www.zara.com/de/en/longline-belted-wool-blend-coat-p09174141.html
STITCHED PADDED ANORAK,69.95 EUR,https://www.zara.com/de/en/stitched-padded-anorak-p06318229.html
ZW COLLECTION WOOL BLEND COAT,149.00 EUR,https://www.zara.com/de/en/zw-collection-wool-blend-coat-p09231745.html
BELTED FAUX FUR COAT ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/belted-faux-fur-coat-zw-collection-p04360249.html
FAUX FUR LAPEL COAT,69.95 EUR,https://www.zara.com/de/en/faux-fur-lapel-coat-p03046353.html
LONGLINE DOUBLE-BREASTED WOOL BLEND COAT,119.00 EUR,https://www.zara.com/de/en/longline-double-breasted-wool-blend-coat-p04070221.html
LONGLINE BELTED WOOL BLEND COAT,119.00 EUR,https://www.zara.com/de/en/longline-belted-wool-blend-coat-p09174141.html
LONG ANORAK WITH HOOD,79.95 EUR,https://www.zara.com/de/en/long-anorak-with-hood-p08372226.html
WOOL BLEND BELTED COAT,59.95 EUR,https://www.zara.com/de/en/wool-blend-belted-coat-p03046341.html
LONG FAUX FUR COAT,99.95 EUR,https://www.zara.com/de/en/long-faux-fur-coat-p06318243.html
DOUBLE-BREASTED COAT WITH POCKETS,59.95 EUR,https://www.zara.com/de/en/double-breasted-coat-with-pockets-p06318238.html
DOUBLE-SIDED REVERSIBLE LONG COAT,89.95 EUR,https://www.zara.com/de/en/double-sided-reversible-long-coat-p06318262.html
WOOL BLEND DOUBLE-BREASTED COAT,99.95 EUR,https://www.zara.com/de/en/wool-blend-double-breasted-coat-p04070223.html
SHORT DOUBLE-BREASTED COAT,49.95 EUR,https://www.zara.com/de/en/short-double-breasted-coat-p08372289.html
SOFT BUTTON COAT,39.95 EUR,https://www.zara.com/de/en/soft-button-coat-p05070660.html
WOOL DOUBLE-BREASTED OVERSIZE COAT,89.95 EUR,https://www.zara.com/de/en/wool-double-breasted-oversize-coat-p08073265.html
WOOL BLEND DOUBLE-BREASTED COAT,79.95 EUR,https://www.zara.com/de/en/wool-blend-double-breasted-coat-p09094141.html
ZW COLLECTION DOUBLE-FACED JACKET,89.95 EUR,https://www.zara.com/de/en/zw-collection-double-faced-jacket-p03548246.html
FAUX LEATHER REVERSIBLE DOUBLE-FACED COAT,79.95 EUR,https://www.zara.com/de/en/faux-leather-reversible-double-faced-coat-p06318248.html
ZW COLLECTION PADDED JACKET,89.95 EUR,https://www.zara.com/de/en/zw-collection-padded-jacket-p00518259.html
MANTECO WOOL BLEND COAT ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/manteco-wool-blend-coat-zw-collection-p09231756.html
SOFT BUTTON COAT,39.95 EUR,https://www.zara.com/de/en/soft-button-coat-p05070660.html
SHORT DOUBLE-BREASTED COAT,49.95 EUR,https://www.zara.com/de/en/short-double-breasted-coat-p08372289.html
SOFT COAT,59.95 EUR,https://www.zara.com/de/en/soft-coat-p08372304.html
FAUX FUR COAT X STEFANO PILATI,229.00 EUR,https://www.zara.com/de/en/faux-fur-coat-x-stefano-pilati-p06153954.html
FAUX FUR COAT WITH TOGGLES,69.95 EUR,https://www.zara.com/de/en/faux-fur-coat-with-toggles-p08372300.html
LONG WOOL COAT ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/long-wool-coat-zw-collection-p09266451.html
SOFT BUTTON COAT,39.95 EUR,https://www.zara.com/de/en/soft-button-coat-p05070660.html
LONG CABLE-KNIT COAT,79.95 EUR,https://www.zara.com/de/en/long-cable-knit-coat-p03653109.html
ZW COLLECTION LONG HERRINGBONE COAT,99.95 EUR,https://www.zara.com/de/en/zw-collection-long-herringbone-coat-p03811240.html
ZW COLLECTION DOUBLE-FACED JACKET,89.95 EUR,https://www.zara.com/de/en/zw-collection-double-faced-jacket-p03548248.html
ZW COLLECTION WOOL BLEND COAT,159.00 EUR,https://www.zara.com/de/en/zw-collection-wool-blend-coat-p09573757.html
OVERSIZED DOUBLE-BREASTED COAT,69.95 EUR,https://www.zara.com/de/en/oversized-double-breasted-coat-p08372303.html
LONG FAUX FUR COAT ZW COLLECTION,129.00 EUR,https://www.zara.com/de/en/long-faux-fur-coat-zw-collection-p03833242.html
DOUBLE-FACED COAT ZW COLLECTION,99.95 EUR,https://www.zara.com/de/en/double-faced-coat-zw-collection-p03833244.html
SHORT FAUX FUR COAT,69.95 EUR,https://www.zara.com/de/en/short-faux-fur-coat-p06318021.html
